"A.01.2.1","Growing of grapes","### NACE Code: 01.21

#### Includes:
This class includes:
- growing of grapes for consumption or further production of wine, juice, vinegar and other dried fruit, e.g. raisins, zante currants, sultanas

#### Excludes:
This class excludes:
- manufacture of juice, see 10.32
- manufacture of wine, see 11.02"
"A.01.2.2","Growing of tropical and subtropical fruits","### NACE Code: 01.22

#### Includes:
This class includes:
- growing of tropical and subtropical fruits, e.g.:
  • avocados
  • bananas and plantains
  • dates
  • figs
  • mangoes
  • papayas
  • pineapples"
"A.01.2.3","Growing of citrus fruits","### NACE Code: 01.23

#### Includes:
This class includes:
- growing of citrus fruits, e.g.:
  • grapefruit and pomelo
  • lemons and limes
  • oranges
  • tangerines, mandarins and clementines"
"A.01.2.4","Growing of pome fruits and stone fruits","### NACE Code: 01.24

#### Includes:
This class includes:
- growing of pome fruits and stone fruits, e.g.:
  • apples
  • apricots
  • cherries and sour cherries
  • peaches and nectarines
  • pears and quinces
  • plums and sloes

#### Excludes:
This class excludes:
- growing of mangoes, rambutans and lychees, see 01.22
- growing of olives, see 01.26"
"A.01.2.5","Growing of other tree and bush fruits and nuts","### NACE Code: 01.25

#### Includes:
This class includes:
- growing of berries, e.g.:
  • blueberries
  • fresh currants
  • gooseberries
  • kiwi fruit
  • raspberries
  • strawberries
  • sea buckthorn
- growing of fruit seeds
- growing of edible nuts, e.g.:
  • almonds
  • cashew nuts
  • chestnuts
  • hazelnuts
  • pistachios
  • walnuts
- growing of other tree and bush fruits, e.g.:
  • locust beans

#### Excludes:
This class excludes:
- growing of coconuts, see 01.26"
"A.01.2.6","Growing of oleaginous fruits","### NACE Code: 01.26

#### Includes:
This class includes:
- growing of oleaginous fruits, e.g.:
  • coconuts
  • olives
  • oil palms

#### Excludes:
This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 01.11
- growing of nuts for oil, e.g. walnuts, almonds, hazelnuts, pine nuts, pistachios, see 01.25"
"A.01.2.7","Growing of beverage crops","### NACE Code: 01.27

#### Includes:
This class includes:
- growing of beverage crops e.g.:
  • coffee
  • tea
  • maté
  • cocoa

#### Excludes:
This class excludes:
- growing of grapes, see 01.21
- growing of hops, see 01.28"
"A.01.2.8","Growing of spices, aromatic, drug and pharmaceutical crops","### NACE Code: 01.28

#### Includes:
This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
  • pepper (Piper spp.)
  • nutmeg, mace and cardamoms
  • anise, badian and fennel as spice or aromatic plant
  • cinnamon (canella)
  • cloves
  • ginger
  • vanilla
  • hops
  • caraway and mustard
- growing of drug and narcotic crops

#### Includes Also:
This class also includes:
- sun drying of spices, aromatic, medicinal and pharmaceutical plants, associated with the growing of the plants

#### Excludes:
This class excludes:
- sun drying of spices, aromatic, medicinal and pharmaceutical plants, by third parties, see 01.63"
"A.01.2.9","Growing of other perennial crops","### NACE Code: 01.29

#### Includes:
This class includes:
- growing of rubber trees for harvesting of latex
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting

#### Excludes:
This class excludes:
- growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19
- gathering of tree sap or rubber-like gums in the wild, see 02.30"
"A.01.3","Plant propagation","### NACE Code: 01.3"
"A.01.3.0","Plant propagation","### NACE Code: 01.30

#### Includes:
This class includes the production of all vegetative planting materials, including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

This class includes:
- growing of plants for planting
- growing of plants for ornamental purposes, including turf for transplanting
- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn
- operation of tree nurseries, except forest tree nurseries

#### Excludes:
This class excludes:
- growing of plants for the purpose of seed production, see 01.1, 01.2
- operation of forest tree nurseries, see 02.10"
"A.01.4","Animal production","### NACE Code: 01.4

#### Includes:
This group includes farming (husbandry, raising) and breeding of all animals, except aquatic animals.

#### Excludes:
This group excludes:
- farm animal boarding and care, see 01.62
- production of hides and skins from slaughterhouses, see 10.11"
"A.01.4.1","Raising of dairy cattle","### NACE Code: 01.41

#### Includes:
This class includes:
- raising and breeding of dairy cattle and/or buffaloes
- production of raw milk from cows or buffaloes
- production of bovine semen of dairy breeds

#### Excludes:
This class excludes:
- processing of milk, see 10.51"
"A.01.4.2","Raising of other cattle and buffaloes","### NACE Code: 01.42

#### Includes:
This class includes:
- raising and breeding of cattle and buffaloes for meat
- production of bovine semen of meat breeds

#### Includes Also:
This class also includes:
- raising and breeding of draft cattle or buffaloes 
- raising and breeding of fighting bulls"
"A.01.4.3","Raising of horses and other equines","### NACE Code: 01.43

#### Includes:
This class includes:
- raising and breeding of horses, asses, mules or hinnies, disregarding the purpose

#### Excludes:
This class excludes:
- operation of racing and riding stables (if they do not have breeding activities), see 93.19"
"A.01.4.4","Raising of camels and camelids","### NACE Code: 01.44

#### Includes:
This class includes:
- raising and breeding of camels (dromedary) and camelids"
"A.01.4.5","Raising of sheep and goats","### NACE Code: 01.45

#### Includes:
This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool

#### Excludes:
This class excludes:
- sheep shearing on a fee or contract basis, see 01.62
- production of pulled wool, see 10.11
- processing of milk, see 10.51"
"A.01.4.6","Raising of swine and pigs","### NACE Code: 01.46

#### Includes:
This class includes:
- raising and breeding of swine and pigs"
"A.01.4.7","Raising of poultry","### NACE Code: 01.47

#### Includes:
This class includes:
- raising and breeding of poultry, e.g.:
  • chickens, turkeys, ducks, geese, quails, ostriches, guinea fowls
- production of eggs from poultry
- operation of poultry hatcheries
- automated egg hatching for poultry

#### Excludes:
This class excludes:
- production of feathers or down, see 10.12"
"A.01.4.8","Raising of other animals","### NACE Code: 01.48

#### Includes:
This class includes:
- raising and breeding of semi-domesticated or other live animals:
  • birds (except poultry)
  • insects
  • rabbits and other fur animals
  • reindeer
- production of fur skins from farming reptiles, e.g. snakes and turtles or bird skins from ranching operations
- breeding and raising of reptiles
- operation of land worm farms, land mollusc farms, land snail farms etc.
- raising of silk worms, production of silk worm cocoons
- bee-keeping and production of, e.g. honey, beeswax, bee propagation for sale, propolis, bee poisoning, honeycomb
- raising and breeding of pet animals (except fish), e.g.:
  • cats and dogs
  • birds, e.g. parakeets
  • hamsters

#### Excludes:
This class excludes:
- production of hides and skins originating from hunting and trapping, see 01.70
- raising of live ornamental fish, see 03.2 
- operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22
- operation of fish farms, see 03.21, 03.22
- boarding and training of pet animals, see 96.99
- operation of animal shelters for abandoned (pet) animals, see 96.99"
"A.01.5","Mixed farming","### NACE Code: 01.5"
"A.01.5.0","Mixed farming","### NACE Code: 01.50

#### Includes:
This class includes:
- the combined production of crops and animals without a specialised production of crops or animals

#### Excludes:
This class excludes:
- mixed crop farming, see 01.1, 01.2
- mixed animal farming, see 01.4"
"A.01.6","Support activities to agriculture and post-harvest crop activities","### NACE Code: 01.6

#### Includes:
This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), usually done on a fee or contract basis.

#### Includes Also:
Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market."
"A.01.6.1","Support activities for crop production","### NACE Code: 01.61

#### Includes:
This class includes:
- crop production activities on a fee or contract basis:
  • preparation of fields
  • establishing a crop
  • treatment of crops
  • crop spraying, including by air
  • trimming of fruit trees and vines
  • transplanting of rice, thinning of beets
  • harvesting
  • pest control (including rabbits) in connection with agriculture
- operation of agricultural irrigation equipment

#### Includes Also:
This class also includes:
- provision of agricultural machinery with operators and crew
- maintenance of own or leased land keeping it in good condition, without agricultural production

#### Excludes:
This class excludes:
- post-harvest crop activities, see 01.63
- drainage of agricultural land, see 43.12
- landscape architecture, see 71.11
- activities of agronomists and agricultural economists, see 74.99
- landscape gardening, planting, see 81.30
- organisation of agricultural shows and fairs, see 82.30"
"A.01.6.2","Support activities for animal production","### NACE Code: 01.62

#### Includes:
This class includes:
- animal production activities on a fee or contract basis:
  • activities to promote propagation, growth and output of animals
  • herd testing services, droving services, agistment services, poultry caponising, coop cleaning etc.
  • activities related to artificial insemination
  • stud services
  • sheep shearing
  • farm animal boarding and care

#### Includes Also:
This class also includes:
- activities of farriers

#### Excludes:
This class excludes:
- provision of space for animal boarding only, see 68.20
- agricultural research activities, see 72.10
- veterinary activities, see 75.00
- vaccination of animals, see 75.00
- rental of animals (e.g. herds, race horses), see 77.39
- pet boarding, see 96.99"
"A.01.6.3","Post-harvest crop activities and seed processing for propagation","### NACE Code: 01.63

#### Includes:
This class includes post-harvest crop activities on a fee or contract basis:
- preparation of crops for primary markets, e.g. cleaning, trimming, grading, disinfecting
- cotton ginning
- preparation of tobacco leaves, e.g. sun drying
- preparation of cocoa beans, e.g. peeling
- waxing of fruit 
- drying of fruit, vegetable, herbs, spices, medicinal herbs and tobacco under natural conditions
- sorting, cleaning and cutting of medicinal herbs 
- grain drying
- post-harvest activities aimed at improving the propagation quality of seed
- retting of plants bearing vegetable textile fibres (jute, flax, coir etc.) not associated with the growing of vegetable textile fibres
- artificial ripening of fruits as a service, e.g. banana ripening

#### Includes Also:
This class also includes 
- activities aimed at improving the propagation quality of seed, e.g. by the removal of non-seed materials, damaged or immature seeds, as well as reducing the seed moisture to a safe level for storage
- drying, cleaning, grading and treating of seeds until they are marketed
- treatment of genetically modified seeds

#### Excludes:
This class excludes:
- preparation of agricultural products by the producer, see corresponding class in groups 01.1, 01.2, 01.3
- growing of seeds, see 01.1, 01.2
- processing of seeds to obtain oil, see 10.41
- stemming and redrying of tobacco, see 12.00
- marketing activities of commission merchants and cooperative associations, see division 46
- wholesale of agricultural raw materials, see 46.2
- research to develop or modify new forms of seeds, see 72.10"
"A.01.7","Hunting, trapping and related service activities","### NACE Code: 01.7"
"A.01.7.0","Hunting, trapping and related service activities","### NACE Code: 01.70

#### Includes:
This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities
- catching of frogs and collecting of snails in the wild

#### Includes Also:
This class also includes:
- land-based catching of sea mammals, e.g. walruses, seals
- hunting of foxes, minks and wolves to protect livestock
- hunting for animal population control

#### Excludes:
This class excludes:
- raising of game animals on ranching operations, see 01.4
- production of fur skins from farming reptiles, e.g. snakes and turtles or bird skins from ranching operations, see 01.48
- pest control (including rabbits) in connection with agriculture, see 01.61
- catching of whales, see 03.11
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19
- service activities to promote hunting and trapping, see 94.99"
"A.02","Forestry and logging","### NACE Code: 02

#### Includes:
This division includes silviculture and the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in products that undergo little processing, e.g. firewood, charcoal, roundwood used in an unprocessed form (e.g. pit-props, pulpwood). These activities can be carried out in natural, semi-natural or planted forests.

#### Excludes:
Excluded is further processing of wood beginning with sawmilling and planing of wood, see division 16."
"A.02.1","Silviculture and other forestry activities","### NACE Code: 02.1"
"A.02.1.0","Silviculture and other forestry activities","### NACE Code: 02.10

#### Includes:
This class includes:
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- growing of coppice, pulpwood and fire wood
- operation of forest tree nurseries
- growing of poplar and willow

These activities can be carried out in natural, semi-natural or planted forests.

#### Excludes:
This class excludes:
- growing of Christmas trees, see 01.29
- operation of tree nurseries, except for forest trees, see 01.30
- gathering of mushrooms and other wild growing non-wood forest products, see 02.30
- production of wood chips and particles, not associated with forestry activities, see 16.11
- production of wood fire logs not associated with forestry activities, see 16.26
- activities relating to amenity tree care and arboriculture, see 81.30"
"A.02.2","Logging","### NACE Code: 02.2"
"A.02.2.0","Logging","### NACE Code: 02.20

#### Includes:
This class includes:
- production of roundwood for forest-based manufacturing industries
- production of roundwood used in an unprocessed form, e.g. pit-props, fence posts, utility poles

#### Includes Also:
This class also includes:
- gathering and production of forest harvesting residues, e.g. brushwood, stumps, wood chips from logging, other forest waste for energy
- production of charcoal in the forest (using traditional methods)

#### Excludes:
This class excludes:
- growing of Christmas trees, see 01.29
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10
- gathering of wild growing non-wood forest products, see 02.30
- production of wood chips and particles, not associated with forestry activities, see 16.11
- production of charcoal through distillation of wood, see 20.14"
"A.02.3","Gathering of wild growing non-wood products","### NACE Code: 02.3"
"A.02.3.0","Gathering of wild growing non-wood products","### NACE Code: 02.30

#### Includes:
This class includes:
- gathering of wild growing materials, e.g.:
  • mushrooms, truffles
  • berries
  • nuts
  • balata and other rubber-like gums
  • cork
  • lac and resins
  • balsams
  • acorns, horse chestnuts
  • mosses and lichens
  • vegetable hair/eelgrass

#### Includes Also:
This class also includes:
- harvesting wild herbs and associated natural drying

#### Excludes:
This class excludes:
- non-wild growing of any of these products (except growing of cork trees), see division 01
- growing of mushrooms or truffles, see 01.13
- growing of berries or nuts, see 01.25
- gathering of fire wood, see 02.20"
"A.02.4","Support services to forestry","### NACE Code: 02.4"
"A.02.4.0","Support services to forestry","### NACE Code: 02.40

#### Includes:
This class includes carrying out part of the forestry operation on a fee or contract basis.

This class includes:
- forestry service activities:
  • forestry inventories
  • forest management consulting services
  • timber evaluation
  • forest fire fighting and prevention
  • forest pest control
- logging service activities:
  • transport of logs within the forest

#### Excludes:
This class excludes:
- operation of forest tree nurseries, see 02.10
- draining of forestry land, see 43.12
- clearing of building sites, see 43.12"
"A.03","Fishing and aquaculture","### NACE Code: 03

#### Includes:
This division includes capture fishery and aquaculture. Gathering marine, brackish or freshwater fish, crustaceans, molluscs and other organisms and products (e.g. aquatic plants, pearls, sponges).

#### Includes Also:
The division also includes service activities incidental to marine or freshwater fishery or aquaculture.

#### Excludes:
This division excludes:
- processing of fish, crustaceans or molluscs, whether at land-based plants or on factory ships, see 10.20
- building and repairing of ships and boats, see 30.11, 30.13, 33.15, 33.18
- sport or recreational fishing activities, see 93.19"
"A.03.1","Fishing","### NACE Code: 03.1

#### Includes:
This group includes capture fishery, i.e. the harvesting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans), including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear, e.g. nets, lines, stationary traps. Such activities can be conducted on the intertidal shoreline (e.g. collection of molluscs, e.g. mussels, oysters) coastal waters or offshore waters. These activities also include fishing in restocked water bodies."
"A.03.1.1","Marine fishing","### NACE Code: 03.11

#### Includes:
This class includes:
- fishing on a commercial basis in ocean and coastal waters
- taking of marine crustaceans and molluscs
- whale catching
- taking of marine aquatic animals, e.g.: turtles, sea squirts, tunicates, sea urchins

#### Includes Also:
This class also includes:
- gathering of other marine organisms and materials: natural pearls, sponges, coral, seaweed, algae

#### Excludes:
This class excludes:
- capturing of marine mammals apart from whales, e.g. seals, walruses, see 01.70
- processing of whales on factory ships, see 10.11
- processing of fish, crustaceans and molluscs on factory ships or in factories ashore, see 10.20
- rental of pleasure boats with crew for sea and coastal water transport (e.g. for fishing cruises), see 50.10
- fishing inspection, protection and patrol services, see 84.24
- fishing practiced for sport or recreation and related services, see 93.19
- operation of sport fishing preserves, see 93.19"
"A.03.1.2","Freshwater fishing","### NACE Code: 03.12

#### Includes:
This class includes:
- fishing on a commercial basis in inland waters
- taking of freshwater crustaceans and molluscs
- taking of freshwater aquatic animals

#### Includes Also:
This class also includes:
- gathering of freshwater materials
- gathering of other organisms and materials: seaweed and algae

#### Excludes:
This class excludes:
- catching of frogs or collection of snails in the wild, see 01.70
- collecting wild plants, e.g. reeds, sedges, see 02.30
- processing of fish, crustaceans and molluscs on factory ships or in factories ashore, see 10.20
- fishing inspection, protection and patrol services, see 84.24
- fishing practiced for sport or recreation and related services, see 93.19
- operation of sport fishing preserves, see 93.19"
"A.03.2","Aquaculture","### NACE Code: 03.2

#### Includes:
This group includes aquaculture (or aquafarming), i.e. the production process involving the culturing or farming (including harvesting) of aquatic organisms (e.g. fish, molluscs, crustaceans, plants, amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (e.g. regular stocking, feeding and protection from predators). Aquaculture also encompasses individual, corporate or state ownership of the individual organisms throughout the rearing or culture stage, up to and including harvesting.

Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms.

#### Includes Also:
This group also includes:
- breeding/farming of fry and adults under artificial conditions

#### Excludes:
This group excludes:
- production of fur skins from farming reptiles, e.g. snakes and turtles or bird skins from ranching operations, see 01.48
- breeding and raising of reptiles, see 01.48"
"A.03.2.1","Marine aquaculture","### NACE Code: 03.21

#### Includes:
This class includes:
- fish farming in sea water, including farming of marine ornamental fish
- production of bivalve spat (oyster mussel etc.), lobsterlings, shrimp post-larvae, fish fry and fingerlings
- growing of seaweed and algae
- culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water

#### Includes Also:
This class also includes:
- aquaculture activities in brackish waters
- land-based aquaculture activities in salt water filled tanks and reservoirs
- operation of marine fish hatcheries and marine worm farms
- marine microalgae cultivation

#### Excludes:
This class excludes:
- frog farming, see 03.22
- operation of sport fishing preserves, see 93.19"
"A.03.2.2","Freshwater aquaculture","### NACE Code: 03.22

#### Includes:
This class includes:
- fish farming in freshwater, including farming of freshwater ornamental fish
- culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals
- operation of fish hatcheries (freshwater)
- farming of frogs
- growing of seaweed and algae (edible or not)

#### Includes Also:
This class also includes:
- freshwater microalgae cultivation

#### Excludes:
This class excludes:
- aquaculture activities in salt water filled tanks and reservoirs, see 03.21
- operation of sport fishing preserves, see 93.19"
"A.03.3","Support activities for fishing and aquaculture","### NACE Code: 03.3"
"A.03.3.0","Support activities for fishing and aquaculture","### NACE Code: 03.30

#### Includes:
This class includes:
- service activities incidental to marine or freshwater fishery or aquaculture e.g.:
  • aquaculture fisheries control 
  • diving services for aquaculture 
  • remotely operated underwater vehicles (ROV) services for aquaculture 
  • repair and maintenance services for fish cages 
  • other support activities on fishing and aquaculture n.e.c.

#### Includes Also:
This class also includes:
- fisheries control (fish guard)

#### Excludes:
This division excludes:
- fishing and aquaculture activities, see 03.1, 03.2
- processing of fish and aquaculture products on factory ships or in factories ashore, see 10.20
- processing of fish, crustaceans and molluscs, see 10.20
- activities related to the servicing of equipment and/or vessels, see division 33
- distribution of fisheries and aquaculture products, see divisions 46, 47, 52
- fishing practiced for sport or recreation and related services, see 93.19
- operation of sport fishing preserves, see 93.19"
"B.05","Mining of coal and lignite","### NACE Code: 05

#### Includes:
This division includes the extraction of solid mineral fuels through underground or open-cast mining and includes operations (e.g. grading, cleaning, compressing and other steps necessary for transportation) leading to a marketable product.

#### Excludes:
This division does not include coking, see 19.10, services incidental to coal or lignite mining, see 09.90 or the manufacture of briquettes, see 19.20."
"B.05.1","Mining of hard coal","### NACE Code: 05.1"
"B.05.1.0","Mining of hard coal","### NACE Code: 05.10

#### Includes:
This class includes:
- mining of hard coal: underground or surface mining, including mining through liquefaction methods
- cleaning, sizing, grading, pulverising, compressing etc. of coal to classify, improve quality or facilitate transport or storage

#### Includes Also:
This class also includes:
- recovery of hard coal from culm banks

#### Excludes:
This class excludes:
- lignite mining, see 05.20
- peat digging, see 08.92
- support activities for hard coal mining, see 09.90
- test drilling for coal mining, see 09.90
- coke ovens producing solid fuels, see 19.10
- manufacture of hard coal briquettes, ovoids and similar solid hard coal fuels, see 19.20
- work performed to develop or prepare properties for coal mining, see 43.12"
"B.05.2","Mining of lignite","### NACE Code: 05.2"
"B.05.2.0","Mining of lignite","### NACE Code: 05.20

#### Includes:
This class includes:
- mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods
- washing, dehydrating, pulverising, compressing of lignite to improve quality or facilitate transport or storage

#### Excludes:
This class excludes:
- hard coal mining, see 05.10
- peat digging, see 08.92
- support activities for lignite mining, see 09.90
- test drilling for coal mining, see 09.90
- manufacture of lignite fuel briquettes, ovoids and similar solid lignite fuels, see 19.20
- work performed to develop or prepare properties for lignite mining, see 43.12"
"B.06","Extraction of crude petroleum and natural gas","### NACE Code: 06

#### Includes:
This division includes the production of crude petroleum, the mining and extraction of oil from oil shale and oil sands and the production of natural gas and recovery of hydrocarbon liquids. This division includes the activities of operating and/or developing oil and gas field properties. Such activities may include drilling, completing and equipping wells; operating separators, emulsion breakers, desalting equipment and field gathering lines for crude petroleum; and all other activities in the preparation of oil and gas up to the point of shipment from the producing property.

#### Excludes:
This division excludes:
- oil and gas field support activities, performed on a fee or contract basis, see 09.10
- oil and gas well exploration, see 09.10
- test drilling and boring in connection with petroleum or gas extraction, see 09.10
- refining of petroleum products, see 19.20
- geophysical, geologic and seismic surveying, see 71.12"
"B.06.1","Extraction of crude petroleum","### NACE Code: 06.1"
"B.06.1.0","Extraction of crude petroleum","### NACE Code: 06.10

#### Includes:
This class includes:
- extraction of crude petroleum oils

#### Includes Also:
This class also includes:
- extraction of bituminous or oil shale and tar sand
- production of crude petroleum from bituminous shale and sand
- processes to obtain crude oils, e.g.: decantation, desalting, dehydration, stabilisation

#### Excludes:
This class excludes:
- extraction of condensates or natural gas liquids, see 06.20 
- support activities for oil and natural gas extraction, see 09.10
- oil and gas exploration, see 09.10
- production of natural gas liquids from crude petroleum (crude oil), see 19.2
- manufacture of refined petroleum products, see 19.20
- recovery of liquefied petroleum gases in the refining of petroleum, see 19.20
- operation of pipelines, see 49.50"
"B.06.2","Extraction of natural gas","### NACE Code: 06.2"
"B.06.2.0","Extraction of natural gas","### NACE Code: 06.20

#### Includes:
This class includes:
- production of crude gaseous hydrocarbon (natural gas)
- extraction of condensates
- draining and separation of liquid hydrocarbon fractions
- gas desulphurisation
- extraction of coal mine methane

#### Includes Also:
This class also includes:
- mining of hydrocarbon liquids, obtained through liquefaction or pyrolysis
- fracking to extract coal seam gas

#### Excludes:
This class excludes:
- support activities for oil and natural gas extraction, see 09.10
- oil and gas exploration, see 09.10
- production of natural gas liquids from crude petroleum (crude oil), see 19.2
- recovery of liquefied petroleum gases in the refining of petroleum, see 19.20
- manufacture of industrial gases, see 20.11
- operation of pipelines, see 49.50"
"B.07","Mining of metal ores","### NACE Code: 07

#### Includes:
This division includes mining for metallic minerals (ores), performed through underground or open-cast extraction, seabed mining etc.

#### Includes Also:
This division also includes:
- ore dressing and beneficiating operations, e.g. crushing, grinding, washing, drying, sintering, calcining or leaching ore, gravity separation or flotation operations

#### Excludes:
This division excludes:
- roasting of iron pyrites, see 20.13
- operation of blast furnaces, see division 24
- production of aluminium oxide, see 24.42"
"B.07.1","Mining of iron ores","### NACE Code: 07.1"
"B.07.1.0","Mining of iron ores","### NACE Code: 07.10

#### Includes:
This class includes:
- mining of ores valued chiefly for iron content
- beneficiation of iron ores

#### Excludes:
This class excludes:
- extraction and preparation of pyrites and pyrrhotite (except roasting), see 08.91"
"B.07.2","Mining of non-ferrous metal ores","### NACE Code: 07.2

#### Includes:
This group includes the mining of non-ferrous metal ores."
"B.07.2.1","Mining of uranium and thorium ores","### NACE Code: 07.21

#### Includes:
This class includes:
- mining of ores chiefly valued for uranium and thorium content: pitchblende etc.
- concentration of such ores
- manufacture of yellowcake

#### Excludes:
This class excludes:
- enrichment of uranium and thorium ores, see 20.13
- production of uranium metal from pitchblende or other ores, see 24.46
- smelting and refining of uranium, see 24.46"
