tax_ident,stat_ident,name,valid_from,physical_address_part1,valid_to,postal_address_part1,postal_address_part2,physical_address_part2,physical_postcode,postal_postcode,physical_address_part3,physical_postplace,postal_address_part3,postal_postplace,phone_number,landline,mobile_number,fax_number,web_address,email_address,secondary_activity_category_code,physical_latitude,physical_longitude,physical_altitude,birth_date,physical_region_code,postal_country_iso_2,physical_country_iso_2,primary_activity_category_code,legal_form_code,sector_code,employees,turnover,data_source_code,status_code,unit_size_code
5340521,16,Stockholm Trade,2024-01-01,Trade Center 78,2024-12-31,Trade Center 78,PO Box 890,Central,8035,8035,Stockholm,Djurgaarden,Stockholm,Djurgaarden,46234567890,46234,113279,5677777,www.stockholmtrade.se,contact@adress.se,7410,73,25,58,01.11.1924,104601,SE,SE,7410,1,6100,24,20024,nlr,active,lrg
5340521,16,Stockholm Trade,2025-01-01,Trade Center 78,infinity,Trade Center 78,PO Box 890,Central,8035,8035,Stockholm,Djurgaarden,Stockholm,Djurgaarden,46234567890,46234,113279,5677777,www.stockholmtrade.se,contact@adress.se,7410,73,25,58,01.11.1924,104601,SE,SE,7410,1,6100,25,20025,nlr,active,lrg
46001,15,Statistics Sweden,2023-01-01,Statistical Blvd 56,2023-12-31,Statistical Blvd 56,PO Box 789,Main City,105,105,Stockholm,Gøta Kanal,Stockholm,Channel Gotha,46123456789,46123,113279,45634567,www.scb.se,contact@adress.se,7410,72,24,56,01.11.1924,104601,SE,SE,7410,1,6100,23,20023,nlr,active,lrg
46001,15,Statistics Sweden,2024-01-01,Statistical Blvd 56,2024-12-31,Statistical Blvd 56,PO Box 789,Main City,105,105,Stockholm,GÃ¸te Kanal,Stockholm,GÃƒÆ’Ã‚Â¸ta Kanal,46123456789,46123,113279,45634567,www.scb.se,contact@adress.se,7410,72,24,56,01.11.1924,104601,SE,SE,7410,1,6100,24,20024,nlr,active,lrg
46001,15,Statistics Sweden,2025-01-01,Statistical Blvd 56,infinity,Statistical Blvd 56,PO Box 789,Main City,105,105,Stockholm,GÃ¸te Kanal,Stockholm,GÃƒÆ’Ã‚Â¸ta Kanal,46123456789,46123,113279,45634567,www.scb.se,contact@adress.se,7410,72,24,56,01.11.1924,104601,SE,SE,7410,1,6100,25,20025,nlr,active,lrg
4711111,232,Statistics Norway O,2025-01-01,Akersveien 26,infinity,Akersveien 26,Last Box 26,Oslo,fom2025,from2025,Oslo,Sentrum24,Oslo,Center24,472024,47242424,242424,24,www.ssb.no,24_contact@adress.se,63122,70,22,24,01.11.1924,10470301,NO,NO,63121,1,4500,25,20025,ntr,active,med
4711110,230,Statistics Norway K,2025-01-01,Oterveien ,infinity,Akersveien 26,2208 Kvgr ,castle City,23,177,Konsvinger,Oteveien,Konsvinger,Festningen,4797061888,4797061888,47123456,47555577,www.ssb_kvgr.no,kvgr@adress.se,63122,59,21,56,01.11.1924,10473401,NO,NO,63122,1,4500,25,20025,ntr,active,tny
4711110,230,Statistics Norway k,2023-01-01,Oterveien ,2023-12-31,Akersveien 26,2208 Kvgr ,castle City,23,177,Konsvinger,Oteveien,Konsvinger,Festningen,4797061888,4797061888,47123456,47555577,www.ssb_kvgr.no,kvgr@adress.se,63121,59,21,56,01.11.1924,10473401,NO,NO,63122,1,4500,23,20023,ntr,active,tny
4711110,230,Statistics Norway k,2024-01-01,Oterveien ,2024-12-31,Akersveien 26,2208 Kvgr ,castle City,23,177,Konsvinger,Oteveien,Konsvinger,Festningen,4797061888,4797061888,47123456,47555577,www.ssb_kvgr.no,kvgr@adress.se,63122,59,21,56,01.11.1924,10473401,NO,NO,63122,1,4500,24,20024,ntr,active,tny
4711111,232,Statistics Norway o,2023-01-01,Kongens Gate 23,2023-12-31,Kongens Gate 23,Prev Box 23,Oslo,23,e23,Oslo,Sentrum 23,Oslo,Center23,47232323,4723232323,2323,2023,www.ssb23.no,23_contact@adress.se,63121,70,22,23,01.11.1924,10470301,NO,NO,63122,1,4500,23,20023,ntr,active,tny
4711111,232,Statistics Norway o,2024-01-01,Akersveien 24,2024-12-31,Akersveien 24,Prev Box 24,Oslo,2024_1,2024_2,Oslo,Sentrum24,Oslo,Center24,472024,47242424,242424,24,www.ssb.no,24_contact@adress.se,63122,70,22,24,01.11.1924,10470301,NO,NO,63121,1,4500,24,20024,ntr,active,tny
358000,14,Statistics Finland,2023-01-01,Statistical Ave 34,2023-12-31,Statistical Ave 34,PO Box 456,Tower,2035,2035,Helsinki,Stortorget,Helsinki,Stortorget,3.58E+11,358123,113279,345000000,www.stat.fi,contact@adress.fi,5820,71,23,54,01.11.1924,135801,FI,FI,43301,1,6100,23,20023,nlr,active,tny
358000,14,Statistics Finland,2024-01-01,Statistical Ave 34,2024-12-31,Statistical Ave 34,PO Box 456,Tower,2035,2035,Helsinki,Stortorget,Helsinki,Stortorget,3.58E+11,358123,113279,345000000,www.stat.fi,contact@adress.fi,5820,71,23,54,01.11.1924,135801,FI,FI,43301,1,6100,24,20024,nlr,active,tny
358000,14,Statistics Finland,2025-01-01,Statistical Ave 34,infinity,Statistical Ave 34,PO Box 456,Tower,2035,2035,Helsinki,Stortorget,Helsinki,Stortorget,3.58E+11,358123,113279,345000000,www.stat.fi,contact@adress.fi,5820,71,23,54,01.11.1924,135801,FI,FI,43301,1,6100,25,20025,nlr,active,tny
22501,18,Statistics Ethiopia,2023-01-01,Statistical Rd 12,2023-12-31,Statistical Rd 12,PO Box 123,Tower,6035,6035,Addis Ababa,Addis Ababa,Addis Ababa,Addis Ababa,2.51E+11,251123,113279,7897777,www.statsethiopia.et,hello@address.com,712,75,27,62,01.11.1924,225101,ET,ET,712,1,6100,23,20023,nlr,active,lrg
22501,18,Statistics Ethiopia,2024-01-01,Statistical Rd 12,2024-12-31,Statistical Rd 12,PO Box 123,Tower,6035,6035,Addis Ababa,Addis Ababa,Addis Ababa,Addis Ababa,2.51E+11,251123,113279,7897777,www.statsethiopia.et,hello@address.com,712,75,27,62,01.11.1924,225101,ET,ET,712,1,6100,24,20024,nlr,active,lrg
22501,18,Statistics Ethiopia,2025-01-01,Statistical Rd 12,infinity,Statistical Rd 12,PO Box 123,Tower,6035,6035,Addis Ababa,Addis Ababa,Addis Ababa,Addis Ababa,2.51E+11,251123,113279,7897777,www.statsethiopia.et,hello@address.com,712,75,27,62,01.11.1924,225101,ET,ET,712,1,6100,25,20025,nlr,active,lrg
45000,13,Statistics Denmark,2023-01-01,Statistical St 12,2023-12-31,Statistical St 12,PO Box 123,Castle,8035,8035,Copenhagen,The Park,Copenhagen,The Park,45123456789,45123,113279,23400000,www.dst.dk,contact@adress.dk,5820,70,22,52,01.11.1924,104501,DK,DK,5820,1,6100,23,20023,nlr,active,tny
45000,13,Statistics Denmark,2024-01-01,Statistical St 12,2024-12-31,Statistical St 12,PO Box 123,Castle,8035,8035,Copenhagen,The Park,Copenhagen,The Park,45123456789,45123,113279,23400000,www.dst.dk,contact@adress.dk,5820,70,22,52,01.11.1924,104501,DK,DK,5820,1,6100,24,20024,nlr,active,tny
45000,13,Statistics Denmark,2025-01-01,Statistical St 12,infinity,Statistical St 12,PO Box 123,Castle,8035,8035,Copenhagen,The Park,Copenhagen,The Park,45123456789,45123,113279,23400000,www.dst.dk,contact@adress.dk,5820,70,22,52,01.11.1924,104501,DK,DK,5820,1,6100,25,20025,nlr,active,tny
2200019,21,Rainbow shopping,2023-01-01,Rainbow Street,2023-12-31,Rainbow Street,PO Box 901,Tower,35,35,Amman,Theater,Amman,Theater,12345678,12345678,113279,2233446100,www.rainbow.jo,contact@adress.jo,0123,68,20,48,01.11.1924,39621,JO,JO,0123,1,6100,23,20023,nlr,active,tny
2200019,21,Rainbow shopping,2024-01-01,Rainbow Street,2024-12-31,Rainbow Street,PO Box 901,Tower,35,35,Amman,Theater,Amman,Theater,12345678,12345678,113279,2233446100,www.rainbow.jo,contact@adress.jo,0123,68,20,48,01.11.1924,39621,JO,JO,0123,1,6100,24,20024,nlr,active,tny
2200019,21,Rainbow shopping,2025-01-01,Rainbow Street,infinity,Rainbow Street,PO Box 901,Tower,35,35,Amman,Theater,Amman,Theater,12345678,12345678,113279,2233446100,www.rainbow.jo,contact@adress.jo,0123,68,20,48,01.11.1924,39621,JO,JO,0123,1,6100,25,20025,nlr,active,tny
397622,20,Oyu Tolgoi LLC,2023-01-01,Mining Ave 56,2023-12-31,Mining Ave 56,PO Box 789,Castle,8035,8035,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar plc,9.76E+11,976234,113279,90177777,www.oyutolgoi.mn,hello@address.com,1311,77,29,66,01.11.1924,397601,MN,MN,1311,1,6100,23,20023,ntr,active,tny
397622,20,Oyu Tolgoi LLC,2024-01-01,Mining Ave 56,2024-12-31,Mining Ave 56,PO Box 789,Castle,8035,8035,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,9.76E+11,976234,113279,90177777,www.oyutolgoi.mn,hello@address.com,1311,77,29,66,01.11.1924,397601,MN,MN,1311,1,6100,24,20024,ntr,active,tny
397622,20,Oyu Tolgoi LLC,2025-01-01,Mining Ave 56,infinity,Mining Ave 56,PO Box 789,Castle,8035,8035,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,9.76E+11,976234,113279,90177777,www.oyutolgoi.mn,hello@address.com,1311,77,29,66,01.11.1924,397601,MN,MN,1311,1,6100,25,20025,ntr,active,tny
2612760118,9,NILE TEXTILES,2023-01-01,Textile St 78,2023-12-31,Textile St 78,PO Box 678,North ,803,803,Kampala,Kampala Central,Kampala,Kampala Central,2251012345,1012,113279,9013333,www.niletextiles.com,contact@adress.ug,1311,67,19,46,01.10.2016,225602,UG,UG,1311,1,6100,23,20023,nlr,active,tny
2612760118,9,NILE TEXTILES,2024-01-01,Textile St 78,2024-12-31,Textile St 78,PO Box 678,North ,803,803,Kampala,Kampala Central,Kampala,Kampala Central,2251012345,1012,113279,9013333,www.niletextiles.com,contact@adress.ug,1311,67,19,46,01.10.2016,225602,UG,UG,1311,1,6100,24,20024,nlr,active,tny
2612760118,9,NILE TEXTILES,2025-01-01,Textile St 78,infinity,Textile St 78,PO Box 678,North ,803,803,Kampala,Kampala Central,Kampala,Kampala Central,2251012345,1012,113279,9013333,www.niletextiles.com,contact@adress.ug,1311,67,19,46,01.10.2016,225602,UG,UG,1311,1,6100,25,20025,nlr,active,tny
2212760144,1,NILE PEARL WATER,2023-01-01,Nile street 123,2023-12-31,Nile street 123,PO Box 345 ,North ,SW1A 1AA,SW1A 1AA,Nile,Nile S,Nile,Nile S,2251234567,1234,113279,1237899,www.address.com,contact@adress.ug,4752,59,11,30,01.10.2016,225613,UG,UG,4752,4,6100,23,20023,nlr,active,med
2212760144,1,NILE PEARL WATER,2024-01-01,Nile street 123,2024-12-31,Nile street 123,PO Box 345 ,North ,SW1A 1AA,SW1A 1AA,Nile,Nile S,Nile,Nile S,2251234567,1234,113279,1237899,www.address.com,contact@adress.ug,4752,59,11,30,01.10.2016,225613,UG,UG,4752,4,6100,24,20024,nlr,active,med
2212760144,1,NILE PEARL WATER,2025-01-01,Nile street 123,infinity,Nile street 123,PO Box 345 ,North ,SW1A 1AA,SW1A 1AA,Nile,Nile S,Nile,Nile S,2251234567,1234,113279,1237899,www.address.com,contact@adress.ug,4752,59,11,30,01.10.2016,225613,UG,UG,4752,4,6100,25,20025,nlr,active,med
2602025168,8,MARINE SERVICES,2023-01-01,Dockyard 34,2023-12-31,Dockyard 34,PO Box 567,Park,8035,8035,Mombasa,Mombasa town,Mombasa,Mombasa town,2251901234,1901,113279,8903333,www.marineservices.com,contact@adress.ug,3314,66,18,44,01.10.2022,225602,UG,UG,3314,4,6100,23,20023,nlr,active,tny
2602025168,8,MARINE SERVICES,2024-01-01,Dockyard 34,2024-12-31,Dockyard 34,PO Box 567,Park,8035,8035,Mombasa,Mombasa town,Mombasa,Mombasa town,2251901234,1901,113279,8903333,www.marineservices.com,contact@adress.ug,3314,66,18,44,01.10.2022,225602,UG,UG,3314,4,6100,24,20024,nlr,active,tny
2602025168,8,MARINE SERVICES,2025-01-01,Dockyard 34,infinity,Dockyard 34,PO Box 567,Park,8035,8035,Mombasa,Mombasa town,Mombasa,Mombasa town,2251901234,1901,113279,8903333,www.marineservices.com,contact@adress.ug,3314,66,18,44,01.10.2022,225602,UG,UG,3314,4,6100,25,20025,nlr,active,tny
3998011,231,MANUAL Auto Uzbekistan,2023-01-01,Manual street 123,2023-12-31,Manual street 123,PO Box 789,MyTown,swt-01,swt-01,UZ,St.Castle,UZ,St.Castle,8800055,8800055,113279,666666100,www.manualauto.uz,hello@address.com,4730,71,23,54,01.11.1924,399801,UZ,UZ,4730,4,6100,23,20023,ntr,active,tny
3998011,231,MANUAL Auto Uzbekistan,2024-01-01,Manual street 123,2024-12-31,Manual street 123,PO Box 789,MyTown,swt-01,swt-01,UZ,St.Castle,UZ,St.Castle,8800055,8800055,113279,666666100,www.manualauto.uz,hello@address.com,4730,71,23,54,01.11.1924,399801,UZ,UZ,4730,4,6100,24,20024,ntr,active,tny
3998011,231,MANUAL Auto Uzbekistan,2025-01-01,Manual street 123,infinity,Manual street 123,PO Box 789,MyTown,swt-01,swt-01,UZ,St.Castle,UZ,St.Castle,8800055,8800055,113279,666666100,www.manualauto.uz,hello@address.com,4730,71,23,54,01.11.1924,399801,UZ,UZ,4730,4,6100,25,20025,ntr,active,tny
2612760138,4,LIRA FRESH FRUIT EXPORTERS,2023-01-01,Fruit Market Road 34,2023-12-31,Fruit Market Road 34,PO Box 890,Tower,8035,8035,Lira,Lira Castle,Lira,Lira Castle,2251567890,1567,113279,45684870,www.lirafresh.com,contact@adress.ug,0122,62,14,36,01.01.2019,225613,UG,UG,0122,1,4500,23,20023,nlr,active,tny
2612760138,4,LIRA FRESH FRUIT EXPORTERS,2024-01-01,Fruit Market Road 34,2024-12-31,Fruit Market Road 34,PO Box 890,Tower,8035,8035,Lira,Lira Castle,Lira,Lira Castle,2251567890,1567,113279,45684870,www.lirafresh.com,contact@adress.ug,0122,62,14,36,01.01.2019,225613,UG,UG,0122,1,4500,24,20024,nlr,active,tny
2612760138,4,LIRA FRESH FRUIT EXPORTERS,2025-01-01,Fruit Market Road 34,infinity,Fruit Market Road 34,PO Box 890,Tower,8035,8035,Lira,Lira Castle,Lira,Lira Castle,2251567890,1567,113279,45684870,www.lirafresh.com,contact@adress.ug,0122,62,14,36,01.01.2019,225613,UG,UG,0122,1,4500,25,20025,nlr,active,tny
2407020166,7,KAMPALA DIGITAL CHARTS,2023-01-01,Tech Hub 89,2023-12-31,Tech Hub 89,PO Box 456,West,S835,S835,Kampala,Kampala Central,Kampala,Kampala Central,2251890123,1890,113279,7896666,www.kampaladigital.com,contact@adress.ug,9200,65,17,42,01.10.2014,225602,UG,UG,9200,1,6100,23,20023,nlr,active,tny
2407020166,7,KAMPALA DIGITAL CHARTS,2024-01-01,Tech Hub 89,2024-12-31,Tech Hub 89,PO Box 456,West,S835,S835,Kampala,Kampala Central,Kampala,Kampala Central,2251890123,1890,113279,7896666,www.kampaladigital.com,contact@adress.ug,9200,65,17,42,01.10.2014,225602,UG,UG,9200,1,6100,24,20024,nlr,active,tny
2407020166,7,KAMPALA DIGITAL CHARTS,2025-01-01,Tech Hub 89,infinity,Tech Hub 89,PO Box 456,West,S835,S835,Kampala,Kampala Central,Kampala,Kampala Central,2251890123,1890,113279,7896666,www.kampaladigital.com,contact@adress.ug,9200,65,17,42,01.10.2014,225602,UG,UG,9200,1,6100,25,20025,nlr,active,tny
2815384160,11,KAMPALA COFFEE SUPPLIERS,2023-01-01,Coffee Rd 90,2023-12-31,Coffee Rd 90,PO Box 789,Central,s-123,s-123,Kampala,Kampala Central,Kampala,Kampala Central,2251123456,1123,113279,2333300,www.kampalacoffee.com,contact@adress.ug,4620,68,20,48,01.01.2018,225602,UG,UG,4620,4,6100,23,20023,nlr,active,sml
2815384160,11,KAMPALA COFFEE SUPPLIERS,2024-01-01,Coffee Rd 90,2024-12-31,Coffee Rd 90,PO Box 789,Central,s-123,s-123,Kampala,Kampala Central,Kampala,Kampala Central,2251123456,1123,113279,2333300,www.kampalacoffee.com,contact@adress.ug,4620,68,20,48,01.01.2018,225602,UG,UG,4620,4,6100,24,20024,nlr,active,sml
2815384160,11,KAMPALA COFFEE SUPPLIERS,2025-01-01,Coffee Rd 90,infinity,Coffee Rd 90,PO Box 789,Central,s-123,s-123,Kampala,Kampala Central,Kampala,Kampala Central,2251123456,1123,113279,2333300,www.kampalacoffee.com,contact@adress.ug,4620,68,20,48,01.01.2018,225602,UG,UG,4620,4,6100,25,20025,nlr,active,sml
2212760166,1,ErrorLine3,2025M01,Wrong Street 1,infinity,Error Street 1,Box 666,Bridge over Troubled,0875,0875,Err,Err S,Wrong,MyPlace,4751234566,666-666,47666111,666666,www.error.com,contact@adress.err,4752,60,11,30,01.01.2000,225613,UG,UG,4752,4,6100,25,20025,nlr,active,med
2212760166,1,ErrorLine2,2024-01-01,Wrong Street 1,2024-12-31,Error Street 1,Box 666,Bridge over Troubled,0875,0875,Err,Err S,Wrong,MyPlace,4751234566,666-666,47666111,666666,www.error.com,contact@adress.err,4752,60,11,30,01.01.2000,225613,UG,UG,6666,4,6100,24,20024,nlr,active,med
2212760166,1,ErrorLine1,2023-01-01,Wrong Street 1,2023-12-31,Error Street 1,Box 666,Bridge over Troubled,0875,0875,Err,Err S,Wrong,MyPlace,4751234566,666-666,47666111,666666,www.error.com,contact@adress.err,4752,60,11,30,01.01.2000,225613,CS,UG,4752,4,6100,23,20023,nlr,active,med
397611,19,Erdenes Tavan Tolgoi JSC,2023-01-01,Mining Rd 34,2023-12-31,Mining Rd 34,PO Box 456,Central,35,35,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar plc,9.76E+11,976123,113279,8907777,www.erdenes.mn,hello@address.com,6312,76,28,64,01.11.1924,397601,MN,MN,6312,1,6100,23,20023,ntr,active,lrg
397611,19,Erdenes Tavan Tolgoi JSC,2024-01-01,Mining Rd 34,2024-12-31,Mining Rd 34,PO Box 456,Central,35,35,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,9.76E+11,976123,113279,8907777,www.erdenes.mn,hello@address.com,6312,76,28,64,01.11.1924,397601,MN,MN,6312,1,6100,24,20024,ntr,active,lrg
397611,19,Erdenes Tavan Tolgoi JSC,2025-01-01,Mining Rd 34,infinity,Mining Rd 34,PO Box 456,Central,35,35,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,Ulaanbaatar,9.76E+11,976123,113279,8907777,www.erdenes.mn,hello@address.com,6312,76,28,64,01.11.1924,397601,MN,MN,6312,1,6100,25,20025,ntr,active,lrg
2812760140,2,EQUATOR GLOBE SOLUTIONS,2023-01-01,Nile street 456,2023-12-31,Nile street 456,PO Box 678,Central,2231,2231,Kampala,Kampala South,Kampala,Kampala South,2251345678,1345,113279,23443436,www.equator.com,contact@adress.ug,5610,60,12,32,01.10.2016,225602,UG,UG,5610,1,6100,23,20023,nlr,active,med
2812760140,2,EQUATOR GLOBE SOLUTIONS,2024-01-01,Nile street 456,2024-12-31,Nile street 456,PO Box 678,Central,2231,2231,Kampala,Kampala South,Kampala,Kampala South,2251345678,1345,113279,23443436,www.equator.com,contact@adress.ug,5610,60,12,32,01.10.2016,225602,UG,UG,5610,1,6100,24,20024,nlr,active,med
2812760140,2,EQUATOR GLOBE SOLUTIONS,2025-01-01,Nile street 456,infinity,Nile street 456,PO Box 678,Central,2231,2231,Kampala,Kampala South,Kampala,Kampala South,2251345678,1345,113279,23443436,www.equator.com,contact@adress.ug,5610,60,12,32,01.10.2016,225602,UG,UG,5610,1,6100,25,20025,nlr,active,med
2212760084,3,EQUATOR CIRCLE CONSTRUCTION,2023-01-01,Construction Ave 12,2023-12-31,Construction Ave 12,PO Box 789,Castle,NC345,NC345,Entebbe,Entebbe,Entebbe,Entebbe,2251456789,1456,113279,34574740,www.equatorcircle.com,contact@adress.ug,5630,61,13,34,01.01.2018,225613,UG,UG,5630,1,6100,23,20023,nlr,active,med
2212760084,3,EQUATOR CIRCLE CONSTRUCTION,2024-01-01,Construction Ave 12,2024-12-31,Construction Ave 12,PO Box 789,Castle,NC345,NC345,Entebbe,Entebbe,Entebbe,Entebbe,2251456789,1456,113279,34574740,www.equatorcircle.com,contact@adress.ug,5630,61,13,34,01.01.2018,225613,UG,UG,5630,1,6100,24,20024,nlr,active,med
2212760084,3,EQUATOR CIRCLE CONSTRUCTION,2025-01-01,Construction Ave 12,infinity,Construction Ave 12,PO Box 789,Castle,NC345,NC345,Entebbe,Entebbe,Entebbe,Entebbe,2251456789,1456,113279,34574740,www.equatorcircle.com,contact@adress.ug,5630,61,13,34,01.01.2018,225613,UG,UG,5630,1,6100,25,20025,nlr,active,med
2812760130,5,ENTEBBE FUEL ENTERPRISES,2023-01-01,Fuel Depot 45,2023-12-31,Fuel Depot 45,PO Box 901,Main City,835,835,Entebbe,Entebbe N,Entebbe,Entebbe N,2251678901,1678,113279,56796887,www.entebbefuel.com,contact@adress.ug,5630,63,15,38,01.01.2018,225613,UG,UG,5630,1,4500,23,20023,nlr,active,tny
2812760130,5,ENTEBBE FUEL ENTERPRISES,2024-01-01,Fuel Depot 45,2024-12-31,Fuel Depot 45,PO Box 901,Main City,835,835,Entebbe,Entebbe N,Entebbe,Entebbe N,2251678901,1678,113279,56796887,www.entebbefuel.com,contact@adress.ug,5630,63,15,38,01.01.2018,225613,UG,UG,5630,1,4500,24,20024,nlr,active,tny
2812760130,5,ENTEBBE FUEL ENTERPRISES,2025-01-01,Fuel Depot 45,infinity,Fuel Depot 45,PO Box 901,Main City,835,835,Entebbe,Entebbe N,Entebbe,Entebbe N,2251678901,1678,113279,56796887,www.entebbefuel.com,contact@adress.ug,5630,63,15,38,01.01.2018,225613,UG,UG,5630,1,4500,25,20025,nlr,active,tny
3300598,22,Amman RIAD 13-14,2023-01-01,Rainbow Avenue 800,2023-12-31,Rainbow Avenue 800,PO Box 0123,Main City,8035,8035,Amman,Coluseum,Amman,Coluseum,1233757575,1233757575,113279,444446100,www.ammman.jo,hello@address.com,0123,69,21,50,01.11.1924,39621,JO,JO,0122,4,6500,23,20023,nlr,active,tny
3300598,22,Amman RIAD 13-14,2024-01-01,Rainbow Avenue 800,2024-12-31,Rainbow Avenue 800,PO Box 0123,Main City,8035,8035,Amman,Coluseum,Amman,Coluseum,1233757575,1233757575,113279,444446100,www.ammman.jo,hello@address.com,0123,69,21,50,01.11.1924,39621,,,,4,6500,24,20024,nlr,active,tny
3300598,22,Amman RIAD 13-14,2025-01-01,Rainbow Avenue 800,infinity,Rainbow Avenue 800,PO Box 0123,Main City,8035,8035,Amman,Coluseum,Amman,Coluseum,1233757575,1233757575,113279,444446100,www.ammman.jo,hello@address.com,0123,69,21,50,01.11.1924,,JO,JO,0122,4,6500,25,20025,nlr,active,tny
