path,name
40.26,Tinn
40.28,Kviteseid
40.30,Nissedal
40.32,Fyresdal
40.34,Tokke
40.36,Vinje
42.01,Risør
42.02,Grimstad
42.03,Arendal
42.04,Kristiansand
42.05,Lindesnes
42.06,Farsund
42.07,Flekkefjord
42.11,Gjerstad
42.12,Vegårshei
42.13,Tvedestrand
42.14,Froland
42.15,Lillesand
42.16,Birkenes
42.17,Åmli
42.18,Iveland
42.19,Evje og Hornnes
42.20,Bygland
42.21,Valle
42.22,Bykle
42.23,Vennesla
42.24,Åseral
42.25,Lyngdal
42.26,Hægebostad
42.27,Kvinesdal
42.28,Sirdal
46.01,Bergen
46.02,Kinn
46.11,Etne
46.12,Sveio
46.13,Bømlo
46.14,Stord
46.15,Fitjar
46.16,Tysnes
46.17,Kvinnherad
46.18,Ullensvang
46.19,Eidfjord
46.20,Ulvik
46.21,Voss
46.22,Kvam
46.23,Samnanger
46.24,Bjørnafjorden
46.25,Austevoll
46.26,Øygarden
46.27,Askøy
46.28,Vaksdal
46.29,Modalen
46.30,Osterøy
46.31,Alver
46.32,Austrheim
46.33,Fedje
46.34,Masfjorden
46.35,Gulen
46.36,Solund
46.37,Hyllestad
46.38,Høyanger
46.39,Vik
46.40,Sogndal
46.41,Aurland
46.42,Lærdal
46.43,Årdal
46.44,Luster
46.45,Askvoll
46.46,Fjaler
46.47,Sunnfjord
46.48,Bremanger
46.49,Stad
46.50,Gloppen
46.51,Stryn
50.01,Trondheim - Tråante
50.06,Steinkjer
50.07,Namsos - Nåavmesjenjaelmie
50.14,Frøya
50.20,Osen
50.21,Oppdal
50.22,Rennebu
50.25,Røros - Rossen
50.26,Holtålen
50.27,Midtre Gauldal
50.28,Melhus
50.29,Skaun
50.31,Malvik
50.32,Selbu
50.33,Tydal
50.34,Meråker
50.35,Stjørdal
50.36,Frosta
50.37,Levanger - Levangke
50.38,Verdal
50.41,Snåase - Snåsa
50.42,Lierne
50.43,Raarvihke - Røyrvik
50.44,Namsskogan
50.45,Grong
50.46,Høylandet
50.47,Overhalla
50.49,Flatanger
50.52,Leka
50.53,Inderøy
50.54,Indre Fosen
50.55,Heim
50.56,Hitra
50.57,Ørland
50.58,Åfjord
50.59,Orkland
50.60,Nærøysund
50.61,Rindal
55.01,Tromsø
55.03,Harstad - Hárstták
55.10,Kvæfjord
55.12,Dielddanuorri - Tjeldsund
55.14,Ibestad
55.16,Gratangen - Rivtták
55.18,Loabák - Lavangen
55.20,Bardu
55.22,Salangen
55.24,Målselv
55.26,Sørreisa
55.28,Dyrøy
55.30,Senja
55.32,Balsfjord
55.34,Karlsøy
55.36,Lyngen
55.38,Storfjord - Omasvuotna - Omasvuono
55.40,Gáivuotna - Kåfjord - Kaivuono
55.42,Skjervøy
55.44,Nordreisa - Ráisa - Raisi
55.46,Kvænangen
56.01,Alta
56.03,Hammerfest - Hámmerfeasta
56.05,Sør-Varanger
56.07,Vadsø
56.10,Kárá?johka - Karasjok
56.12,Guovdageaidnu - Kautokeino
56.14,Loppa
56.16,Hasvik
56.18,Måsøy
56.20,Nordkapp
56.22,Porsanger - Porsángu - Porsanki
56.24,Lebesby
56.26,Gamvik
56.28,Deatnu - Tana
56.30,Berlevåg
56.32,Båtsfjord
56.34,Vardø
56.36,Unjárga - Nesseby
99.99,Uoppgitt
21,Svalbard
22,Jan Mayen
23,Kontinentalsokkelen
24,Luftrommet
25,Utlandet
26,Havområder
27,Norske biland
28,Ekstrafylke
21.00,Svalbardområde
21.01,Colesbukta arealplanområde
21.02,Pyramiden arealplanområde
21.03,Van Mijenfjorden
21.04,Nordenskiöld Land nasjonalpark
21.05,Isfjorden
21.06,Sassen-Bünsow Land nasjonalpark
21.07,Nordre Isfjorden nasjonalpark
21.08,Kongsfjorden
21.09,Forlandet nasjonalpark
21.10,Wijdefjorden
21.11,Longyearbyen arealplanområde
21.12,Ny-Ålesund arealplanområde
21.13,Barentsburg arealplanområde
21.14,Sør-Spitsbergen nasjonalpark
21.15,Sveagruva arealplanområde
21.16,Indre Wijdefjorden nasjonalpark
21.17,Nordvest-Spitsbergen nasjonalpark
21.18,Nordaust-Svalbard naturreservat
21.19,Søraust-Svalbard naturreservat
21.21,Bjørnøya naturreservat
21.31,Hopen naturreservat
22.11,Jan Mayen
23.11,Sokkelen sør for 62 grader N
23.21,Sokkelen nord for 62 grader N
23.99,"Sokkelen, uspesifisert"
24.11,Luftrom under og lik 1000 m.o.h.
24.12,Luftrom over 1000 m.o.h.
24.99,Luftrom uspesifisert
25.11,Norske ambassader i utlandet
25.99,"Utlandet, uspesifisert"
26.11,Havområder innenfor sokkelen
26.12,Havområder utenfor sokkelen
26.99,"Havområder, uspesifisert"
27.99,"Norske biland (Bouvetøya, Peter I Øy og Dronning Maud Land)"
