path,name
38.25,Vinje
42.01,Risør
42.02,Grimstad
42.03,Arendal
42.04,Kristiansand
42.05,Lindesnes
42.06,Farsund
42.07,Flekkefjord
42.11,Gjerstad
42.12,Vegårshei
42.13,Tvedestrand
42.14,Froland
42.15,Lillesand
42.16,Birkenes
42.17,Åmli
42.18,Iveland
42.19,Evje og Hornnes
42.20,Bygland
42.21,Valle
42.22,Bykle
42.23,Vennesla
42.24,Åseral
42.25,Lyngdal
42.26,Hægebostad
42.27,Kvinesdal
42.28,Sirdal
46.01,Bergen
46.02,Kinn
46.11,Etne
46.12,Sveio
46.13,Bømlo
46.14,Stord
46.15,Fitjar
46.16,Tysnes
46.17,Kvinnherad
46.18,Ullensvang
46.19,Eidfjord
46.20,Ulvik
46.21,Voss
46.22,Kvam
46.23,Samnanger
46.24,Bjørnafjorden
46.25,Austevoll
46.26,Øygarden
46.27,Askøy
46.28,Vaksdal
46.29,Modalen
46.30,Osterøy
46.31,Alver
46.32,Austrheim
46.33,Fedje
46.34,Masfjorden
46.35,Gulen
46.36,Solund
46.37,Hyllestad
46.38,Høyanger
46.39,Vik
46.40,Sogndal
46.41,Aurland
46.42,Lærdal
46.43,Årdal
46.44,Luster
46.45,Askvoll
46.46,Fjaler
46.47,Sunnfjord
46.48,Bremanger
46.49,Stad
46.50,Gloppen
46.51,Stryn
50.01,Trondheim
50.06,Steinkjer
50.07,Namsos
50.14,Frøya
50.20,Osen
50.21,Oppdal
50.22,Rennebu
50.25,Røros
50.26,Holtålen
50.27,Midtre Gauldal
50.28,Melhus
50.29,Skaun
50.31,Malvik
50.32,Selbu
50.33,Tydal
50.34,Meråker
50.35,Stjørdal
50.36,Frosta
50.37,Levanger
50.38,Verdal
50.41,Snåase - Snåsa
50.42,Lierne
50.43,Raarvihke - Røyrvik
50.44,Namsskogan
50.45,Grong
50.46,Høylandet
50.47,Overhalla
50.49,Flatanger
50.52,Leka
50.53,Inderøy
50.54,Indre Fosen
50.55,Heim
50.56,Hitra
50.57,Ørland
50.58,Åfjord
50.59,Orkland
50.60,Nærøysund
50.61,Rindal
54.01,Tromsø
54.02,Harstad - Hárstták
54.03,Alta
54.04,Vardø
54.05,Vadsø
54.06,Hammerfest
54.11,Kvæfjord
54.12,Tjeldsund
54.13,Ibestad
54.14,Gratangen
54.15,Loabák - Lavangen
54.16,Bardu
54.17,Salangen
54.18,Målselv
54.19,Sørreisa
54.20,Dyrøy
54.21,Senja
54.22,Balsfjord
54.23,Karlsøy
54.24,Lyngen
54.25,Storfjord - Omasvuotna - Omasvuono
54.26,Gáivuotna - Kåfjord - Kaivuono
54.27,Skjervøy
54.28,Nordreisa - Ráisa - Raisi
54.29,Kvænangen
54.30,Guovdageaidnu - Kautokeino
54.32,Loppa
54.33,Hasvik
54.34,Måsøy
54.35,Nordkapp
54.36,Porsanger - Porsá?gu - Porsanki
54.37,Kárá?johka - Karasjok
54.38,Lebesby
54.39,Gamvik
54.40,Berlevåg
54.41,Deatnu - Tana
54.42,Unjárga - Nesseby
54.43,Båtsfjord
54.44,Sør-Varanger
99.99,Uoppgitt
21.00,Svalbard
